Resistance       	Number of Steps. Time between each step is .15s	    
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
4.44E+07	0	
