VG, VDS, ID, IG
-10.0, 0.1, 6.7122e-09, -4.7536e-09
-9.8, 0.1, 6.5595e-09, -4.0725e-09
-9.6, 0.1, 6.3343e-09, -3.5603e-09
-9.4, 0.1, 6.1187e-09, -3.1572e-09
-9.2, 0.1, 6.065e-09, -2.7706e-09
-9.0, 0.1, 5.9145e-09, -2.535e-09
-8.8, 0.1, 5.8135e-09, -2.3644e-09
-8.6, 0.1, 5.6724e-09, -2.2103e-09
-8.4, 0.1, 5.4291e-09, -2.1266e-09
-8.2, 0.1, 5.3244e-09, -2.0126e-09
-8.0, 0.1, 5.1571e-09, -1.8898e-09
-7.8, 0.1, 5.0433e-09, -1.7849e-09
-7.6, 0.1, 4.877e-09, -1.6849e-09
-7.4, 0.1, 4.7607e-09, -1.5979e-09
-7.2, 0.1, 4.5434e-09, -1.514e-09
-7.0, 0.1, 4.4541e-09, -1.4441e-09
-6.8, 0.1, 4.2726e-09, -1.3721e-09
-6.6, 0.1, 4.11e-09, -1.3108e-09
-6.4, 0.1, 3.944e-09, -1.2637e-09
-6.2, 0.1, 3.6986e-09, -1.1954e-09
-6.0, 0.1, 3.4839e-09, -1.1284e-09
-5.8, 0.1, 3.2647e-09, -1.0844e-09
-5.6, 0.1, 3.0262e-09, -1.0185e-09
-5.4, 0.1, 2.7219e-09, -9.8048e-10
-5.2, 0.1, 2.3954e-09, -9.2756e-10
-5.0, 0.1, 2.0459e-09, -9.0449e-10
-4.8, 0.1, 1.7907e-09, -8.6093e-10
-4.6, 0.1, 1.5386e-09, -8.0887e-10
-4.4, 0.1, 1.2916e-09, -7.5336e-10
-4.2, 0.1, 1.1404e-09, -7.0044e-10
-4.0, 0.1, 1.0071e-09, -6.6433e-10
-3.8, 0.1, 8.307e-10, -6.1725e-10
-3.6, 0.1, 6.5092e-10, -5.776e-10
-3.4, 0.1, 4.5193e-10, -5.3064e-10
-3.2, 0.1, 3.0803e-10, -4.8819e-10
-3.0, 0.1, 1.7011e-10, -4.4043e-10
-2.8, 0.1, 1.1039e-10, -4.869e-10
-2.6, 0.1, 3.6616e-11, -4.5586e-10
-2.4, 0.1, 1.5984e-11, -4.1519e-10
-2.2, 0.1, 6.343e-12, -3.7954e-10
-2.0, 0.1, 3.608e-12, -3.3668e-10
-1.8, 0.1, 1.688e-12, -2.9567e-10
-1.6, 0.1, 8.65e-13, -2.5377e-10
-1.4, 0.1, 2.78e-13, -2.1472e-10
-1.2, 0.1, 1.43e-13, -1.6986e-10
-1.0, 0.1, 1.03e-13, -1.3312e-10
-0.8, 0.1, 1.01e-13, -9.562e-11
-0.6, 0.1, 6e-14, -5.952e-11
-0.4, 0.1, 4.6e-14, -2.881e-11
-0.2, 0.1, 9.7e-14, -3.48e-12
0.0, 0.1, 9.8e-14, 1.881e-11
0.2, 0.1, 7.7e-14, 3.94e-11
