VG, VDS, ID, IG
-10.0, 0.1, 1.0364e-07, -7.4846e-09
-9.8, 0.1, 9.9862e-08, -5.6286e-09
-9.6, 0.1, 9.6346e-08, -4.7314e-09
-9.4, 0.1, 9.3894e-08, -4.1725e-09
-9.2, 0.1, 9.1717e-08, -3.7574e-09
-9.0, 0.1, 8.9535e-08, -3.4302e-09
-8.8, 0.1, 8.7341e-08, -3.1664e-09
-8.6, 0.1, 8.4942e-08, -2.9398e-09
-8.4, 0.1, 8.2773e-08, -2.7767e-09
-8.2, 0.1, 8.0652e-08, -2.6053e-09
-8.0, 0.1, 7.8199e-08, -2.4479e-09
-7.8, 0.1, 7.5835e-08, -2.3117e-09
-7.6, 0.1, 7.3592e-08, -2.1789e-09
-7.4, 0.1, 7.1212e-08, -2.0561e-09
-7.2, 0.1, 6.8765e-08, -1.9525e-09
-7.0, 0.1, 6.6405e-08, -1.8261e-09
-6.8, 0.1, 6.4245e-08, -1.709e-09
-6.6, 0.1, 6.1184e-08, -1.6581e-09
-6.4, 0.1, 5.8654e-08, -1.5792e-09
-6.2, 0.1, 5.6177e-08, -1.4835e-09
-6.0, 0.1, 5.3448e-08, -1.3956e-09
-5.8, 0.1, 5.0725e-08, -1.314e-09
-5.6, 0.1, 4.7957e-08, -1.2291e-09
-5.4, 0.1, 4.5006e-08, -1.1694e-09
-5.2, 0.1, 4.2215e-08, -1.0861e-09
-5.0, 0.1, 3.9194e-08, -9.912e-10
-4.8, 0.1, 3.6585e-08, -8.9563e-10
-4.6, 0.1, 3.3166e-08, -8.6483e-10
-4.4, 0.1, 3.0448e-08, -8.0044e-10
-4.2, 0.1, 2.7446e-08, -7.4603e-10
-4.0, 0.1, 2.4731e-08, -6.8382e-10
-3.8, 0.1, 2.2134e-08, -6.233e-10
-3.6, 0.1, 1.9681e-08, -5.5695e-10
-3.4, 0.1, 1.7008e-08, -4.9045e-10
-3.2, 0.1, 1.468e-08, -4.3323e-10
-3.0, 0.1, 1.2567e-08, -3.607e-10
-2.8, 0.1, 1.0767e-08, -2.8924e-10
-2.6, 0.1, 9.1099e-09, -2.6013e-10
-2.4, 0.1, 7.5524e-09, -2.2497e-10
-2.2, 0.1, 6.242e-09, -1.7302e-10
-2.0, 0.1, 5.1391e-09, -1.2678e-10
-1.8, 0.1, 4.1074e-09, -8.409e-11
-1.6, 0.1, 3.2449e-09, -3.159e-11
-1.4, 0.1, 2.7473e-09, -6.16e-12
-1.2, 0.1, 2.1665e-09, 4.443e-11
-1.0, 0.1, 1.7096e-09, 8.921e-11
-0.8, 0.1, 1.3612e-09, 1.4099e-10
-0.6, 0.1, 1.1177e-09, 1.687e-10
-0.4, 0.1, 9.0272e-10, 1.8807e-10
-0.2, 0.1, 6.6833e-10, 2.262e-10
0.0, 0.1, 5.0823e-10, 2.7873e-10
0.2, 0.1, 3.6547e-10, 3.2606e-10
0.4, 0.1, 2.6943e-10, 3.6965e-10
0.6, 0.1, 2.127e-10, 3.8699e-10
0.8, 0.1, 1.7102e-10, 4.1564e-10
1.0, 0.1, 1.5835e-10, 4.5928e-10
1.2, 0.1, 1.0294e-10, 5.0005e-10
1.4, 0.1, 1.0417e-10, 3.6027e-10
