Voltage   	Current
-4.996574	3.26E-08
-4.001201	2.92E-08
-3.00036	2.66E-08
-2.000785	2.38E-08
-0.999966	2.09E-08
0.000958	1.81E-08
0.999198	1.58E-08
1.999605	1.31E-08
2.998648	1.11E-08
3.999415	9.37E-09
4.996566	7.44E-09
4.000596	1.14E-08
3.000184	1.45E-08
2.001142	1.74E-08
1.000352	2.02E-08
0.000567	2.27E-08
-0.998893	2.39E-08
-2.000133	2.64E-08
-2.999107	2.83E-08
-3.999699	3.02E-08
