Vg	Ids
-2.997720999999999947e+01	4.054427000000000231e-08
-2.900059999999999860e+01	3.597147999999999912e-08
-2.800100000000000122e+01	3.420077000000000245e-08
-2.700062000000000140e+01	3.313136000000000293e-08
-2.600121000000000038e+01	3.213693000000000268e-08
-2.500097999999999843e+01	3.107246000000000294e-08
-2.400114999999999910e+01	2.993244000000000091e-08
-2.300121000000000038e+01	2.860032000000000076e-08
-2.200064000000000064e+01	2.715362000000000079e-08
-2.100088999999999828e+01	2.567096999999999909e-08
-2.000047999999999959e+01	2.405670999999999850e-08
-1.900108000000000175e+01	2.243837000000000096e-08
-1.800035000000000096e+01	2.096920000000000158e-08
-1.700110000000000099e+01	1.947799000000000089e-08
-1.600082000000000093e+01	1.803924000000000067e-08
-1.500123999999999924e+01	1.673004000000000109e-08
-1.400098000000000020e+01	1.540491999999999895e-08
-1.300164999999999971e+01	1.414587999999999955e-08
-1.200126000000000026e+01	1.296958999999999967e-08
-1.100193999999999939e+01	1.192566999999999941e-08
-1.000112999999999985e+01	1.090306999999999924e-08
-9.001296999999999215e+00	9.981377999999999899e-09
-8.000937000000000410e+00	9.125223000000000594e-09
-7.000469999999999970e+00	8.394633000000000535e-09
-6.001263999999999932e+00	7.791219000000000410e-09
-5.000720000000000276e+00	7.086337999999999937e-09
-4.001479999999999926e+00	6.582321000000000394e-09
-3.000900999999999819e+00	6.083316999999999911e-09
-2.001236000000000015e+00	5.621153999999999798e-09
-1.000498000000000109e+00	5.212183999999999710e-09
6.359999999999999551e-04	4.773149000000000306e-09
9.984169999999999989e-01	4.841677000000000051e-09
1.998982999999999954e+00	4.249197999999999950e-09
2.998226999999999975e+00	3.826002999999999945e-09
3.999175000000000146e+00	3.496134999999999942e-09
4.998277999999999999e+00	3.255589999999999922e-09
5.998911999999999800e+00	2.970307000000000132e-09
6.998367000000000004e+00	2.760483000000000093e-09
7.999144000000000254e+00	2.556225000000000031e-09
8.999176999999999538e+00	2.350752000000000197e-09
9.998725999999999559e+00	2.161120000000000081e-09
1.099892999999999965e+01	1.994867999999999940e-09
1.199855999999999945e+01	1.861059000000000077e-09
1.299882999999999988e+01	1.715202999999999955e-09
1.399859000000000009e+01	1.582862000000000071e-09
1.499911999999999956e+01	1.447785000000000083e-09
1.599859999999999971e+01	1.363067000000000004e-09
1.699906000000000006e+01	1.266150999999999922e-09
1.799838000000000093e+01	1.175054000000000025e-09
1.899884000000000128e+01	1.090841000000000038e-09
1.999784999999999968e+01	9.927604999999999447e-10
2.099813999999999936e+01	9.049038999999999485e-10
2.199746000000000024e+01	8.096573000000000429e-10
2.299806999999999846e+01	7.420435999999999624e-10
2.399855000000000160e+01	6.695208999999999560e-10
2.499793000000000021e+01	6.170393999999999858e-10
2.599865000000000137e+01	5.593452999999999875e-10
2.699843999999999866e+01	4.757896999999999747e-10
2.799867000000000061e+01	3.958781999999999761e-10
2.899821999999999989e+01	3.301877000000000157e-10
2.998266999999999882e+01	-2.864770999999999826e-10
2.900057999999999936e+01	1.129961000000000003e-09
2.800097999999999843e+01	1.841675000000000053e-09
2.700073000000000079e+01	2.622066000000000197e-09
2.600116999999999834e+01	3.375583000000000171e-09
2.500065999999999988e+01	4.386796000000000161e-09
2.400119000000000113e+01	5.174023999999999916e-09
2.300075999999999965e+01	6.122786000000000078e-09
2.200035000000000096e+01	7.093521000000000035e-09
2.100065999999999988e+01	8.001443999999999237e-09
2.000025000000000119e+01	8.977485000000000665e-09
