Voltage   	Current	
-0.001219	-3.688099E-10
0.098647	-5.253525E-11
0.198443	-4.605696E-11
0.298093	-6.959142E-11
0.398743	-7.328618E-11
0.498419	-4.079329E-11
0.598481	-2.793771E-11
0.697557	-1.184308E-11
0.798876	-4.008460E-11
0.898453	-3.340381E-11
0.998275	-1.102837E-10
1.098097	-4.484210E-11
1.198812	3.056973E-11
1.298835	-3.750350E-11
1.398511	-1.061334E-10
1.499174	-5.288928E-11
1.599000	-9.611220E-11
1.698681	-4.959966E-11
1.798515	-7.186896E-11
1.899122	-6.144296E-11
1.998807	-6.053186E-11
2.098444	-3.289757E-12
2.198322	-4.813205E-11
2.299170	-3.340356E-12
2.398828	-7.090750E-11
2.498006	-4.281789E-11
2.598154	1.508242E-11
2.699006	-7.495637E-11
2.798931	5.364875E-12
2.898736	-3.436548E-11
2.997927	-1.076519E-10
3.099105	-1.300732E-11
3.198652	-2.409140E-11
3.298500	9.094986E-11
3.398077	-4.858747E-11
3.499186	-1.830129E-10
3.598742	-8.791309E-11
3.698504	1.361464E-11
3.798244	-1.822031E-11
3.899310	-1.260234E-11
3.998772	-9.570747E-11
4.098362	1.515325E-10
4.198192	-1.222791E-10
4.299057	-4.701864E-11
4.398437	-1.933390E-11
4.498465	-2.321573E-10
4.597978	-2.738096E-11
4.698808	-1.194439E-11
4.798510	-4.347600E-11
4.898242	-3.947767E-11
4.997724	-3.193629E-11
5.098688	4.276707E-11
5.198694	-2.307926E-11
5.298044	-1.146364E-10
5.397986	3.502355E-11
5.498662	-1.496095E-10
5.598475	4.307071E-11
5.698246	-3.345471E-11
5.797895	-2.480011E-11
5.898880	-2.237074E-11
5.998659	-8.568637E-11
6.097902	-2.323111E-11
6.198192	-5.709055E-11
6.298799	-2.955786E-11
6.398191	-3.188783E-12
6.498275	-8.199180E-11
6.597582	-1.923378E-12
6.698764	-3.102543E-11
6.798423	4.656109E-12
6.898138	-3.360665E-11
6.997676	-1.558886E-11
7.098236	7.338491E-12
7.198067	-1.249109E-10
7.297983	1.422187E-11
7.397556	-7.687992E-11
7.498648	-8.259921E-11
7.598161	7.743625E-11
7.698159	-2.611608E-11
7.797376	-7.181886E-11
7.898609	-8.705398E-12
7.998036	-2.080192E-11
8.097979	2.171231E-11
8.197894	-3.695044E-12
8.298660	-3.431525E-11
8.398354	1.958662E-11
8.497982	-1.336187E-11
8.598645	-3.218964E-11
8.698682	1.293643E-10
8.798161	4.274536E-10
8.897845	-1.663116E-10
8.998499	-2.963340E-10
9.098257	-9.272164E-11
9.197971	3.158165E-11
9.297733	3.041774E-11
9.398546	3.441604E-11
9.498197	-5.369963E-11
9.598143	4.620869E-11
9.697767	-6.529277E-12
9.798508	1.037519E-11
9.898196	2.019401E-11
9.997953	2.247150E-11
10.097420	2.717848E-11
10.198450	7.136153E-12
10.298260	3.355560E-11
10.398020	3.912294E-11
10.497520	1.579094E-11
10.598610	1.294656E-10
10.698070	-4.818304E-11
10.797850	4.377924E-11
10.897590	4.398171E-11
10.998480	3.016463E-11
11.098300	7.753753E-11
11.197960	1.341217E-11
11.297620	-6.326883E-12
11.398410	4.706679E-12
11.498260	3.330256E-11
11.597800	2.120634E-11
11.697570	2.788704E-11
11.798400	7.743632E-11
11.897950	1.579072E-11
11.998060	-3.679501E-11
12.097710	2.743170E-11
12.198310	1.999170E-11
12.298170	6.073442E-11
12.397710	2.302841E-11
12.497540	-1.989076E-11
12.598300	7.723390E-11
12.698140	1.877694E-11
12.797840	9.378404E-11
12.897490	7.292785E-10
12.998330	1.948544E-11
13.097970	3.365680E-11
13.197790	5.314055E-12
13.297370	-1.042627E-11
13.398440	7.151464E-11
13.497770	-2.191516E-11
13.597580	-7.526066E-11
13.697140	3.421362E-11
13.798230	2.915222E-11
13.897740	-2.632006E-12
13.997450	2.687492E-11
14.097140	9.520114E-11
14.198160	6.189843E-11
14.297740	4.200772E-11
14.397640	-8.199497E-12
14.497200	5.058454E-13
14.598130	8.583786E-11
14.697710	4.610737E-11
14.797800	2.641909E-11
14.897190	2.945584E-11
14.998100	-2.166231E-11
15.097720	4.357670E-11
15.197970	6.427470E-12
15.297540	4.170406E-11
15.398000	3.340134E-12
15.497740	-1.948600E-11
15.597560	4.534827E-11
15.698340	5.374981E-11
15.797850	1.406981E-11
15.897740	1.842254E-11
15.997470	-2.353515E-11
16.098290	3.320128E-11
16.197750	4.833423E-11
16.297640	1.654986E-11
16.397860	3.132856E-11
16.498250	-3.694720E-11
16.598160	1.801764E-11
16.698290	-2.171296E-11
16.797860	-8.857415E-12
16.898370	-4.150458E-12
16.998050	-5.061479E-12
17.097780	4.165350E-11
17.197470	5.506577E-11
17.298390	3.396047E-11
17.397870	-7.593925E-13
17.498370	2.344350E-10
17.597420	4.119803E-11
17.698080	1.956661E-10
17.797850	-2.216841E-11
17.897900	4.089818E-10
17.997270	-3.988271E-11
18.098090	-1.837239E-11
18.197810	5.157355E-11
18.297870	-1.498143E-11
18.397600	4.494323E-11
18.498500	1.422179E-11
18.598250	-8.606449E-13
18.697800	-1.685407E-11
18.797640	-8.098328E-12
18.898390	3.598488E-11
18.998210	3.234096E-11
19.097630	-7.087386E-13
19.197690	-8.027098E-11
19.298230	-1.158006E-10
19.398110	1.499128E-10
19.497760	1.189365E-11
19.597450	9.211160E-12
19.698490	1.376627E-11
19.797970	5.567298E-11
19.897860	4.408293E-11
19.997250	1.973835E-11
19.897930	-7.672812E-11
19.798090	-2.561004E-11
19.698660	-4.362805E-11
19.597600	-3.881992E-11
19.497760	-7.576656E-11
19.398200	-8.695183E-11
19.298480	-3.310069E-11
19.197610	-7.414716E-11
19.098040	3.087003E-12
18.998280	-7.293238E-11
18.898370	-9.267115E-11
18.797770	-4.600689E-11
18.697840	-1.088163E-10
18.598240	-3.745329E-11
18.498420	-7.718404E-11
18.397710	-8.948270E-11
18.297850	-4.747475E-11
18.198280	-9.904821E-11
18.098400	-3.522654E-11
17.997790	-1.150925E-10
17.897770	-1.388802E-10
17.798510	-1.013765E-10
17.698720	-8.523149E-11
17.597620	-3.709913E-11
17.497960	-1.660085E-10
17.398270	-2.803915E-10
17.298590	-9.084902E-11
17.197840	-1.875184E-10
17.098090	-6.017814E-11
16.998190	-6.159540E-11
16.898720	-8.680018E-11
16.797910	-7.768999E-11
16.698250	-1.729421E-10
16.598240	-3.760520E-11
16.498500	-7.126230E-11
16.397630	-1.142831E-10
16.298100	-3.386003E-11
16.198080	-1.145357E-10
16.098540	-9.155762E-11
15.997820	-7.581752E-11
15.897850	-1.039072E-10
15.798160	-7.060436E-11
15.698490	-1.232410E-10
15.598210	-1.277961E-10
15.498280	-1.076523E-10
15.398290	-1.013258E-10
15.297390	-7.774026E-11
15.197960	-1.058808E-10
15.098070	-7.105974E-11
14.998460	-8.118206E-11
14.897350	-1.075510E-10
14.797630	5.865913E-11
14.697860	1.103847E-10
14.598330	2.934444E-10
14.497400	-6.706133E-11
14.397680	-8.619278E-11
14.297860	-9.742832E-11
14.198180	-8.867276E-11
14.097450	-6.660586E-11
13.998220	-8.153672E-11
13.897940	-7.303363E-11
13.798520	-1.000101E-10
13.697540	-1.439918E-10
13.598030	-2.148490E-10
13.498030	-4.960027E-11
13.398320	-9.236753E-11
13.297680	-1.101324E-10
13.197910	-1.294661E-10
13.098570	-9.975709E-11
12.998330	-1.059315E-10
12.897740	-1.935917E-10
12.798140	-7.333728E-11
12.698160	6.098726E-11
12.598540	-3.013452E-10
12.497620	9.651678E-11
12.397800	-1.151937E-10
12.298200	1.909086E-10
12.198640	-6.387293E-11
12.097910	-1.008196E-10
11.998220	-7.293258E-11
11.898200	-7.531126E-11
11.798410	-8.512990E-11
11.697670	-1.344263E-10
11.597940	-1.110434E-10
11.498520	-8.831857E-11
11.398640	-8.978640E-11
11.297870	-1.026925E-10
11.198110	-1.268343E-10
11.098280	-1.546713E-10
10.998600	-1.091707E-10
10.897740	-1.304279E-10
10.797950	-6.549258E-11
10.698280	-1.072476E-10
10.598780	-1.410564E-10
10.497780	-1.404493E-10
10.398090	-1.502679E-10
10.298180	-4.026707E-10
10.198590	-9.115286E-11
10.097910	-1.364000E-10
9.997924	-3.917419E-11
9.898437	-1.722335E-10
9.798611	-1.165602E-10
9.697763	-1.650466E-10
9.598010	-1.286564E-10
9.498325	-1.282010E-10
9.398645	-1.544182E-10
9.297776	-1.056787E-10
9.198251	-1.411576E-10
9.098244	-1.540639E-10
8.998727	-9.176049E-11
8.897952	-8.690151E-11
8.798212	-1.267839E-10
8.698720	-1.258224E-10
8.599028	-1.452573E-10
8.498030	-6.483461E-11
8.398405	-1.196477E-10
8.298682	-1.083611E-10
8.197808	-1.387284E-10
8.098202	-1.459153E-10
7.998513	-1.215709E-10
7.898686	-1.744100E-10
7.797985	-1.341733E-10
7.698146	-1.160540E-10
7.598667	-1.386271E-10
7.498931	-1.581128E-10
7.397964	-1.740052E-10
7.298180	-1.460165E-10
7.198625	-1.332621E-10
7.098764	-1.544181E-10
6.997895	-1.123090E-10
6.898219	-1.734483E-10
6.798655	-1.357423E-10
6.698992	-1.180789E-10
6.598436	-2.272993E-10
6.498361	-1.423218E-10
6.398938	-1.775986E-10
6.299065	-1.189391E-10
6.198299	-1.107905E-10
6.098400	-1.378681E-10
5.998848	-9.191198E-11
5.898962	-1.459154E-10
5.798196	-1.340215E-10
5.698452	-1.466239E-10
5.598715	-1.756752E-10
5.498992	-1.187366E-10
5.398201	-1.467759E-10
5.298516	-1.247089E-10
5.198883	-1.211154E-10
5.098928	-1.730939E-10
4.998222	-1.227854E-10
4.898538	-1.691968E-10
4.798497	-8.902729E-11
4.698898	-1.254174E-10
4.598214	-1.469780E-10
4.498606	-2.100406E-10
4.398669	-1.060330E-10
4.299061	-1.284540E-10
4.198150	-9.808676E-11
4.098619	-1.592769E-10
3.998926	-1.464213E-10
3.899087	-3.375880E-11
3.798231	-1.656540E-10
3.698525	-9.186155E-11
3.598725	-1.549243E-10
3.499027	-1.202044E-10
3.398274	-9.687209E-11
3.298521	-1.171675E-10
3.198480	-1.247593E-10
3.098890	-1.482940E-10
2.998004	-6.989592E-11
2.898397	-1.088671E-10
2.798622	-1.160035E-10
2.698727	-3.947803E-11
2.597910	-1.179774E-10
2.498169	-7.267964E-11
2.398794	-3.876932E-11
2.298835	-3.319661E-10
2.198013	-1.809389E-10
2.098350	3.583295E-11
1.998700	1.260198E-11
1.898886	-5.142239E-11
1.798159	-9.580930E-11
