Voltage   	Current	
-0.003072	-5.375459E-10
0.098351	-5.832988E-10
0.198052	-2.351472E-9
0.297887	-2.033061E-10
0.398636	1.708174E-9
0.498462	-5.166946E-10
0.598155	-7.902505E-10
0.697771	-3.070094E-10
0.798777	4.346385E-10
0.898338	3.303270E-9
0.998018	1.227151E-9
1.097745	-5.369893E-10
1.198683	-2.757316E-10
1.298719	-4.256434E-10
1.398524	-2.160094E-10
1.499088	-1.753174E-10
1.598811	-5.134549E-10
1.698681	-2.424290E-10
1.798258	-4.581358E-10
1.898942	-9.337719E-11
1.998743	-1.151404E-10
2.098388	-1.710156E-10
2.198138	-1.440396E-10
2.299105	-3.881906E-10
2.398918	-1.470258E-10
2.498461	-1.113446E-10
2.598051	-1.078521E-10
2.698951	-1.103323E-10
2.798764	-2.147949E-10
2.898568	-1.571481E-10
2.998163	-1.293622E-10
3.098877	-5.420359E-11
3.198648	-1.533524E-10
3.298508	-2.037108E-10
3.398300	-1.362959E-10
3.499092	-1.610959E-10
3.598849	-1.507711E-10
3.698590	-1.302226E-10
3.798111	-1.544154E-10
3.899040	-1.257688E-10
3.998789	-1.077004E-10
4.098577	-1.157982E-10
4.198107	-1.265786E-10
4.299096	-1.842759E-10
4.398596	-1.235420E-10
4.498396	-1.383711E-10
4.598038	-4.357531E-11
4.698688	-1.168106E-10
4.798454	-3.836234E-11
4.898156	-8.452022E-11
4.997746	-1.129641E-10
5.098821	-6.326334E-11
5.198299	-1.258195E-10
5.297936	-1.600837E-10
5.397711	-1.470256E-10
5.498318	-2.321042E-10
5.598127	-8.991672E-10
5.697692	-3.439562E-10
5.797625	-8.534652E-10
5.898391	-2.911174E-10
5.998423	-9.454118E-11
6.098013	-1.737487E-10
6.197767	-1.166587E-10
6.298545	-7.429674E-11
6.398230	-9.641396E-11
6.497863	-5.364703E-11
6.597646	-6.817263E-11
6.698335	-7.961096E-11
6.798011	-3.365550E-11
6.897803	-6.128945E-11
6.997312	1.062993E-11
7.098300	-1.044107E-10
7.197826	-7.742307E-12
7.297523	-8.527945E-11
7.397350	-6.827380E-11
7.498335	-1.568815E-11
7.598135	-4.964876E-11
7.697953	-7.576434E-11
7.797337	-1.142297E-10
7.898193	-3.304809E-11
7.998131	2.996375E-11
8.097790	-4.453687E-11
8.197559	-8.613987E-11
8.298394	4.256583E-11
8.398268	-5.501360E-11
8.497828	-5.010428E-11
8.598971	-7.343620E-11
8.698540	-8.092685E-11
8.798135	-8.209089E-11
8.898055	-7.773820E-11
8.998735	-1.183290E-10
9.098394	-1.357901E-10
9.198122	-2.681078E-12
9.297450	6.898521E-11
9.398778	-1.852252E-11
9.498424	-5.157214E-11
9.597962	-2.626593E-11
9.697961	-6.032777E-11
9.798589	1.240127E-11
9.898433	-5.030673E-11
9.997829	2.753409E-11
10.097640	-7.577272E-13
10.198470	-3.158043E-11
10.298080	7.278107E-11
10.398010	-5.344467E-11
10.497780	-1.236939E-10
10.598650	-1.103828E-10
10.698280	3.284834E-11
10.797820	3.016597E-11
10.897610	1.685511E-11
10.998610	-6.336456E-11
11.097980	-4.600459E-11
11.198120	-1.130146E-10
11.297490	-1.195436E-10
11.398380	-6.533835E-11
11.498040	-5.025610E-11
11.597750	-3.294698E-11
11.697460	-4.504314E-11
11.798110	-1.304251E-10
11.898070	-2.869532E-11
11.997670	-3.648956E-11
12.097530	2.535770E-11
12.198270	-1.366388E-11
12.298050	3.092512E-11
12.397730	-6.565859E-13
12.497320	-4.387909E-11
12.598270	-2.824005E-11
12.697870	-4.782683E-11
12.797500	-5.312722E-12
12.897710	-1.081558E-10
12.997960	-3.694528E-11
13.098320	-4.620723E-11
13.197440	-3.699574E-11
13.297140	-6.565859E-13
13.397880	-4.398015E-11
13.497600	-1.634623E-11
13.597520	-2.859407E-11
13.697160	-7.166481E-11
13.798060	2.667379E-11
13.897690	-4.119666E-11
13.997600	-2.363429E-11
14.097050	-1.042458E-11
14.197900	-1.568812E-11
14.297870	3.117828E-11
14.397650	1.483073E-11
14.497100	-4.838352E-11
14.598200	-9.378220E-11
14.697730	-4.681458E-11
14.797310	-1.718761E-10
14.897110	-1.482783E-11
14.997950	-6.903286E-11
15.097920	7.694345E-12
15.197520	-7.090589E-11
15.297120	8.048617E-12
15.397940	1.012369E-11
15.497690	-4.276551E-11
15.597590	-3.245212E-10
